CHR,P
2,0.676
8,0.383
8,0.758
8,0.633
5,0.216
5,0.091
2,0.926
5,1.115
2,0.551
5,1.365
5,1.24
4,1.519
4,1.144
4,1.019
14,0.764
14,0.514
14,0.889
14,0.264
14,0.639
20,0.346
20,0.471
20,0.846
14,0.389
14,0.139
8,0.225
6,0.075
13,0.836
13,0.961
13,0.711
13,0.586
15,0.202
15,0.327
6,0.121
6,0.371
6,0.996
6,0.871
6,0.746
6,0.621
6,0.246
6,0.496
17,0.648
17,0.898
17,0.523
17,0.273
17,0.773
20,1.337
17,0.398
8,0.317
8,0.442
10,0.808
10,0.558
2,1.132
2,1.007
9,0.712
9,0.837
9,0.587
3,0.548
3,0.673
3,0.798
3,0.923
6,0.213
6,0.088
22,0.896
22,0.271
22,0.396
22,0.521
22,0.646
4,0.193
4,0.443
4,0.318
4,0.16
7,0.825
7,0.7
7,0.575
4,0.058
11,0.512
11,0.387
11,0.262
11,0.887
11,0.637
2,0.181
2,0.306
2,0.431
4,0.377
4,0.252
4,0.127
13,1.898
4,0.502
13,1.023
13,1.398
10,2.88
4,0.752
13,1.273
6,2.209
23,0.6
23,0.35
23,0.725
23,0.475
23,0.85
11,0.229
2,0.148
5,0.563
5,0.688
18,2.754
18,2.254
18,0.331
6,2.299
8,0.572
8,0.822
8,0.697
21,0.34
21,0.465
12,0.509
12,0.259
12,0.759
15,1.198
15,1.073
12,0.884
3,0.178
3,0.303
19,1.01
8,1.188
8,1.688
8,1.313
10,0.03
10,0.155
9,0.561
9,0.686
12,1.5
10,0.076
3,0.145
16,1.187
16,1.687
16,1.062
16,1.937
19,0.203
19,0.453
19,0.328
10,0.497
10,0.122
10,0.872
10,0.247
10,0.372
10,0.747
1,2.464
1,0.416
1,0.291
14,0.559
14,0.684
14,0.809
14,0.934
10,0.043
16,1.277
22,0.96
16,1.402
16,1.027
22,0.71
13,0.756
13,0.381
13,0.256
1,2.054
14,1.05
20,0.233
18,1.737
13,0.223
20,0.2
20,0.325
20,0.45
11,0.576
11,0.826
14,1.39
14,1.015
11,0.701
10,1.219
15,0.681
