CHR,P,exp
21,2.058,4.833465860170692
21,2.558,4.532435864506711
21,2.433,4.35634460545103
17,2.012,4.23140586884273
9,3.211,4.134495855834674
9,3.711,4.0553146097870485
9,3.586,3.9883678201564354
9,3.086,3.9303758731787486
17,2.762,3.8792233507313676
17,2.262,3.8334658601706924
17,2.512,3.7920731750124674
17,2.387,3.7542846141230677
17,2.637,3.719522507863856
2,0.551,3.687337824492454
2,0.676,3.657374601115011
2,0.926,3.629345877514768
2,0.801,3.6030169387924182
5,0.091,3.5781933550673863
5,0.216,3.5547122592178635
5,1.365,3.532435864506711
5,1.49,3.5112465654367733
5,1.24,3.491043179348486
5,1.115,3.4717380241530993
5,1.615,3.4532546184590864
5,1.865,3.435525851498655
15,2.66,3.4184925121998746
15,2.535,3.402102096011705
15,2.16,3.386307828828473
15,2.285,3.3710678622717363
15,2.035,3.3563446054510298
15,2.41,3.3421041663364197
3,3.188,3.3283158818507865
4,1.144,3.314951920292805
4,1.519,3.3019869431284374
4,1.269,3.2893978158204167
4,1.394,3.277163359403405
4,1.019,3.2652641361036974
4,1.644,3.2536822635538822
4,1.769,3.2424012531441933
4,1.894,3.23140586884273
10,3.522,3.220682003450957
10,3.147,3.210216569772792
6,3.851,3.1999974045911057
6,3.476,3.190013183684505
6,3.601,3.180253346395349
10,3.022,3.1707080284891185
17,1.14,3.161368002234975
17,1.89,3.152224622795105
17,1.765,3.143269780142179
14,0.139,3.1344958558346736
14,0.514,3.125895684072756
14,0.264,3.1174625165358933
14,0.639,3.109189990569903
14,0.389,3.1010721003477237
14,0.764,3.0931031706764487
14,0.889,3.085277833164492
20,0.471,3.077591004498201
20,0.346,3.070037866607755
20,0.596,3.062613848528548
8,0.1,3.055314609787049
8,0.225,3.048136025159925
6,0.075,3.0410741706724385
5,1.99,3.0341253107171107
5,1.74,3.0272858861868053
7,1.057,3.0205525035278367
7,1.432,3.0139219246288236
7,1.682,3.007391057469866
7,1.557,3.000956947464456
7,1.307,2.994616769433437
7,1.932,2.9883678201564354
18,3.021,2.982207511451617
19,2.046,2.976133363739424
19,2.421,2.9701430000502365
19,2.546,2.964234140439716
19,2.171,2.9584045967789923
19,2.296,2.952652267889901
13,0.711,2.9469751349982105
13,0.961,2.941371257480212
13,0.586,2.935838768880251
13,0.836,2.9303758731787486
15,2.125,2.924980841292043
15,0.202,2.9196520077869756
15,0.452,2.9143877677946186
2,4.003,2.9091865741088108
3,3.028,2.9040469344563995
3,3.153,2.8989674089271245
15,0.327,2.8939466075520737
20,1.827,2.8889831880205237
2,2.599,2.8840758535257796
2,2.474,2.8792233507313676
2,2.974,2.874424467849599
6,0.121,2.8696780328251372
6,0.371,2.864982911616757
6,0.246,2.8603380065709936
6,0.496,2.8557422548818447
