CHR,P
21,2.058
21,2.558
21,2.433
17,2.012
9,3.211
9,3.711
9,3.586
9,3.086
17,2.762
17,2.262
17,2.512
17,2.387
17,2.637
2,0.551
2,0.676
2,0.926
2,0.801
5,0.091
5,0.216
5,1.365
5,1.49
5,1.24
5,1.115
5,1.615
5,1.865
15,2.66
15,2.535
15,2.16
15,2.285
15,2.035
15,2.41
3,3.188
4,1.144
4,1.519
4,1.269
4,1.394
4,1.019
4,1.644
4,1.769
4,1.894
10,3.522
10,3.147
6,3.851
6,3.476
6,3.601
10,3.022
17,1.14
17,1.89
17,1.765
14,0.139
14,0.514
14,0.264
14,0.639
14,0.389
14,0.764
14,0.889
20,0.471
20,0.346
20,0.596
8,0.1
8,0.225
6,0.075
5,1.99
5,1.74
7,1.057
7,1.432
7,1.682
7,1.557
7,1.307
7,1.932
18,3.021
19,2.046
19,2.421
19,2.546
19,2.171
19,2.296
13,0.711
13,0.961
13,0.586
13,0.836
15,2.125
15,0.202
15,0.452
2,4.003
3,3.028
3,3.153
15,0.327
20,1.827
2,2.599
2,2.474
2,2.974
6,0.121
6,0.371
6,0.246
6,0.496
6,0.746
6,0.996
6,0.621
6,0.871
17,0.273
17,0.398
17,0.648
17,0.523
17,0.898
17,0.773
20,1.962
20,1.462
20,1.337
20,1.212
20,1.087
20,1.712
8,0.442
8,0.317
8,0.192
8,0.067
10,0.683
2,1.507
2,1.007
2,1.132
2,1.257
2,1.632
2,1.382
2,1.882
2,1.757
10,0.558
16,3.449
16,3.324
22,0.479
11,3.152
11,3.777
11,3.527
12,2.427
12,2.177
12,2.052
12,2.552
12,2.302
12,2.802
12,0.491
9,0.962
9,0.587
9,0.837
9,0.712
12,0.616
12,0.866
12,0.991
15,0.169
3,0.548
3,0.673
3,0.923
3,0.798
3,3.118
6,0.213
6,0.088
10,1.324
10,1.074
10,1.199
10,1.574
10,1.449
10,1.16
10,1.035
10,1.535
10,1.824
10,1.66
10,1.785
10,1.91
15,2.121
15,2.621
15,2.746
15,2.371
22,0.396
22,0.896
22,0.271
22,0.521
22,0.771
22,0.646
14,0.016
4,0.068
4,0.193
4,0.443
4,0.318
1,3.641
1,3.266
1,3.391
1,3.141
11,3.117
12,2.517
11,1.9
11,1.65
12,2.017
12,2.142
12,2.892
8,2.096
4,0.114
8,2.846
8,2.596
8,2.471
8,2.221
8,2.721
8,2.971
14,2.88
14,2.38
14,2.005
22,1.137
14,1.989
14,1.489
22,1.262
22,1.762
22,1.887
13,1.558
13,1.308
13,1.433
13,1.058
13,1.933
13,1.183
4,0.035
4,0.16
6,2.244
6,2.369
6,2.744
6,2.619
6,2.119
6,2.494
6,2.869
7,0.7
7,0.95
7,0.575
7,0.825
1,3.356
1,3.481
1,3.106
4,0.058
15,1.494
15,1.619
15,1.994
15,1.869
20,1.626
21,1.791
21,1.916
21,1.041
20,2.455
20,2.205
17,1.495
17,1.12
17,1.245
17,1.37
17,1.62
17,1.745
4,3.248
4,3.373
4,3.498
17,1.87
11,0.387
11,0.762
4,0.081
11,0.637
11,0.137
11,0.262
11,0.512
11,0.887
2,0.181
2,0.431
2,0.306
18,2.039
18,2.164
18,2.289
18,2.539
18,2.789
18,2.664
18,2.414
4,0.627
4,0.502
4,0.127
4,0.252
4,0.377
4,0.752
4,0.877
10,2.38
10,2.255
10,2.88
6,2.334
2,0.102
6,2.084
6,2.584
6,2.459
6,2.209
6,2.709
19,2.425
19,2.175
19,2.8
19,2.925
19,2.55
10,1.575
9,2.659
9,2.034
9,2.409
9,2.534
9,2.159
9,2.909
9,2.284
9,2.784
11,0.229
20,0.803
20,0.928
2,0.148
5,0.563
5,0.938
5,0.688
5,0.813
15,1.541
7,0.021
22,1.627
22,0.302
11,5.49
18,2.254
18,2.129
18,2.754
8,4.219
18,0.331
18,0.456
14,2.083
14,2.208
14,2.708
14,2.583
14,2.958
14,2.333
15,1.858
2,3.111
3,2.511
3,2.761
3,2.261
3,2.011
3,2.136
3,2.886
3,2.386
3,2.636
6,2.424
6,2.174
6,2.924
6,2.549
6,2.049
6,2.799
6,2.299
6,2.674
21,1.818
19,1.462
19,1.962
8,0.947
8,0.697
8,0.572
8,0.822
21,1.549
21,0.465
21,0.34
7,0.011
18,2.719
18,2.969
18,2.219
18,2.469
18,2.094
12,0.384
12,0.259
12,0.134
12,0.634
12,0.884
12,0.759
12,0.509
15,1.073
2,3.701
2,3.451
3,2.101
3,2.976
3,2.726
3,0.303
3,0.178
3,0.428
3,2.851
3,2.226
3,2.601
21,1.676
18,0.044
19,1.26
19,1.135
19,1.385
19,1.51
19,1.01
19,1.76
19,1.635
19,1.885
8,1.313
8,1.813
8,1.438
8,1.563
8,1.688
8,1.188
8,1.063
8,1.938
10,0.155
10,0.03
22,0.244
22,0.744
17,3.458
10,0.053
3,1.072
3,1.322
9,0.561
9,0.936
9,0.686
9,0.811
11,2.6
11,2.975
11,2.1
11,2.225
11,2.85
11,2.475
11,2.35
12,0.101
12,0.226
22,1.69
22,1.315
10,0.076
22,1.44
3,0.145
22,1.565
22,1.94
22,1.19
22,1.815
3,2.316
3,2.066
3,2.691
3,2.816
3,2.191
3,2.441
3,2.566
3,2.941
8,0.018
14,4.081
14,1.463
14,1.088
14,1.213
14,1.338
14,1.963
14,1.713
14,1.588
14,1.838
16,1.937
16,1.062
16,1.187
17,1.825
10,4.468
19,0.328
19,0.203
19,0.453
22,1.759
10,0.122
10,0.247
10,0.997
10,0.372
10,0.497
10,0.622
10,0.872
10,0.747
22,1.778
1,2.714
1,2.214
1,2.339
1,2.839
1,0.291
1,0.416
1,2.089
1,2.964
1,2.464
1,2.589
9,2.984
9,2.484
19,0.409
21,3.094
12,3.55
17,3.548
14,0.559
14,0.809
14,0.684
13,0.085
14,0.934
10,0.043
19,0.17
8,1.867
8,1.742
8,1.992
16,1.402
16,1.152
16,1.777
16,1.027
13,0.506
13,0.381
13,0.756
13,0.131
13,0.881
12,2.52
13,0.256
13,0.631
17,1.579
1,2.929
1,2.304
1,2.804
1,2.054
1,2.179
1,2.554
1,2.679
1,2.429
14,1.925
14,1.55
14,1.05
9,4.837
14,1.3
14,1.425
14,1.675
14,1.175
14,1.8
20,0.233
18,1.362
18,1.237
18,1.112
18,1.612
18,1.737
18,1.487
18,1.862
18,1.987
19,3.207
15,3.036
13,0.223
13,0.098
18,1.681
18,1.306
18,1.431
18,1.806
6,1.032
6,1.657
6,1.407
6,1.782
6,1.907
6,1.532
6,1.157
6,1.282
18,1.892
18,1.267
18,1.642
8,0.365
8,0.24
8,0.49
8,0.615
8,0.74
8,0.99
8,0.865
20,0.2
13,1.201
13,1.326
13,1.701
11,0.576
11,0.701
11,0.951
11,0.826
13,1.826
9,4.552
9,4.177
14,1.39
10,1.344
10,1.469
10,1.094
10,1.219
10,1.719
10,1.594
10,1.844
10,1.969
12,3.088
18,1.452
18,1.327
18,1.202
18,1.077
18,1.577
18,1.827
9,1.373
9,1.248
9,1.123
9,1.623
9,1.498
9,1.998
9,1.748
2,2.059
2,2.434
2,2.309
2,2.809
2,2.184
2,2.559
2,2.684
2,2.934
3,1.209
3,1.334
3,1.459
12,1.835
12,1.335
12,1.085
12,1.96
12,1.71
12,1.46
12,1.585
13,1.982
18,3.296
15,2.026
15,2.151
15,2.401
15,2.651
15,2.276
13,0.702
15,2.526
20,0.167
8,0.863
19,1.85
10,3.029
10,3.404
10,3.154
18,1.426
18,1.926
12,3.178
9,0.066
9,0.316
9,0.191
9,0.441
8,3.257
8,3.132
22,0.882
3,1.674
3,1.049
3,1.174
3,1.799
3,1.924
3,1.299
3,1.549
3,1.424
22,2.048
22,2.173
22,2.423
16,0.168
9,0.112
19,0.708
19,0.583
19,0.833
19,0.958
