CHR,P
4,0.545
2,0.056
4,0.7
2,0.141
4,0.48
4,0.199
4,1.19
2,0.028
4,0.091
4,0.369
4,0.091
7,0.163
4,0.85
9,0.197
4,0.54
4,0.702
4,1.367
4,0.262
4,0.637
4,0.014
4,0.364
10,0.106
4,0.164
11,0.239
4,0.413
4,0.703
4,1.558
3,0.059
4,0.719
17,-0.0
11,0.106
4,0.199
4,0.075
4,0.394
4,0.635
4,0.388
5,0.875
8,0.261
4,0.095
20,0.06
10,0.53
4,0.259
4,0.077
4,0.301
4,0.219
4,0.142
4,0.158
4,0.014
4,1.4
23,0.408
4,0.125
4,0.382
4,0.089
4,0.354
2,0.595
4,0.507
4,0.441
4,-0.0
13,0.108
4,0.444
4,0.181
4,0.768
4,0.416
4,0.195
4,0.623
4,0.059
4,0.739
4,0.342
4,0.237
4,0.074
4,0.646
4,-0.0
4,0.198
4,0.014
4,0.198
8,0.183
4,0.203
4,0.732
4,0.014
4,0.358
4,0.69
4,0.075
4,0.141
4,0.2
4,0.778
4,0.284
4,0.621
4,0.058
4,0.744
4,0.144
4,0.076
4,0.369
4,0.493
4,0.82
4,0.213
4,0.125
4,0.853
4,1.156
4,0.199
4,0.487
4,1.725
4,0.254
4,0.125
4,0.402
7,1.065
11,0.06
4,0.042
4,0.551
4,0.736
9,1.258
4,0.281
4,0.28
4,0.937
4,0.109
4,0.726
4,0.181
4,0.174
2,0.387
4,0.749
4,0.636
4,0.196
4,0.028
4,0.092
4,0.014
4,2.097
4,1.074
1,0.277
4,0.162
4,0.108
4,0.122
20,0.014
4,0.605
4,0.463
4,0.014
4,1.126
16,0.105
1,0.124
4,0.417
4,0.487
4,0.16
7,0.179
19,0.044
4,0.059
4,1.223
1,0.487
4,0.014
2,0.245
4,0.319
14,0.122
4,0.014
4,0.198
3,0.5
4,0.277
4,0.659
5,0.316
4,-0.0
4,0.357
15,0.124
4,0.073
9,0.044
4,0.141
2,0.571
3,0.559
4,0.199
4,0.194
4,1.41
4,0.366
3,0.253
4,0.597
4,0.531
22,1.297
6,0.479
4,0.364
2,0.32
7,0.074
4,0.539
4,0.145
2,0.767
4,1.46
4,0.982
4,0.715
4,0.512
4,0.386
4,0.6
4,0.235
4,1.476
4,0.388
13,1.619
4,0.257
4,0.377
4,0.014
4,0.245
4,0.664
2,3.008
4,0.342
5,0.255
4,0.615
4,0.259
4,0.014
4,0.464
4,0.302
1,1.519
4,0.306
12,0.311
1,0.028
4,-0.0
4,1.176
4,1.922
4,0.123
5,0.413
4,0.831
4,0.267
14,1.238
4,0.089
4,0.715
4,0.402
20,0.752
4,2.246
4,0.076
4,1.0
4,0.524
4,0.091
4,0.074
4,0.424
4,0.49
4,0.939
4,0.196
4,0.433
4,0.029
4,0.108
4,0.124
4,0.538
21,0.142
4,0.783
4,0.193
4,0.328
4,0.66
4,0.014
4,0.219
4,0.108
4,0.125
4,0.541
4,0.073
1,0.142
4,0.396
4,0.37
4,0.48
4,0.145
4,0.125
4,0.431
10,0.143
4,0.676
13,0.074
4,0.176
4,0.161
4,-0.0
4,0.323
9,0.126
4,0.515
4,1.564
4,0.176
4,-0.0
4,0.221
4,0.197
4,0.375
15,0.09
4,0.672
4,0.108
4,0.297
7,0.479
4,0.091
4,1.001
3,0.453
4,0.547
4,0.218
2,0.35
4,0.819
4,0.123
4,0.24
1,0.043
4,1.483
4,0.309
4,0.607
4,0.673
4,0.014
4,0.937
4,0.299
4,0.978
4,0.252
4,0.819
4,0.028
4,0.397
4,0.059
4,0.601
4,0.727
15,0.058
5,0.014
4,1.199
4,0.675
4,0.536
4,0.368
4,0.273
4,1.023
4,0.18
9,0.467
1,0.158
4,0.295
13,0.318
4,0.637
4,0.408
4,0.432
4,0.091
4,0.305
4,0.029
4,0.795
4,1.025
15,0.678
4,0.059
4,0.464
4,0.713
4,1.052
4,0.642
4,0.855
4,0.075
4,1.275
4,0.346
14,0.163
4,0.014
4,0.853
4,0.164
9,0.092
4,0.233
4,1.052
4,0.123
4,0.953
4,0.274
19,0.285
4,0.198
4,0.458
4,0.277
5,0.459
5,0.838
5,0.029
5,0.077
5,0.47
7,0.218
12,0.433
5,0.531
5,0.123
5,1.39
5,0.014
5,0.702
16,1.171
5,0.044
5,0.108
5,0.087
5,0.93
16,0.161
5,0.301
5,0.284
22,0.161
6,0.634
5,0.408
15,0.366
5,0.363
5,0.219
5,-0.0
19,0.222
5,0.109
1,0.014
7,0.347
5,0.216
5,0.355
22,0.346
5,0.028
14,0.415
5,0.342
5,0.028
5,0.493
5,0.028
5,0.166
5,0.109
5,0.311
5,0.458
5,0.717
6,0.218
19,0.014
5,1.011
5,1.321
5,0.235
5,0.702
5,0.125
5,0.22
5,0.076
5,0.285
5,1.862
5,1.096
5,-0.0
5,0.22
5,0.296
5,0.93
16,0.39
5,0.12
5,0.059
5,0.405
7,0.247
12,0.217
5,1.568
5,0.218
23,0.173
5,0.409
5,0.456
5,0.58
5,0.303
11,0.433
3,0.298
5,1.13
8,0.093
5,0.029
5,0.201
5,0.182
5,0.159
5,0.771
5,1.046
5,0.394
2,0.06
5,0.422
5,0.716
5,0.223
5,0.107
5,1.471
1,0.389
5,0.107
3,0.441
6,0.107
8,0.371
4,0.529
8,0.33
11,1.904
12,0.279
5,0.406
11,0.751
15,0.244
15,0.223
17,1.736
17,0.029
18,0.219
18,0.609
18,0.162
18,0.232
2,1.668
2,0.469
5,0.174
3,0.367
3,0.415
3,0.627
3,0.497
4,0.34
4,0.305
4,0.249
4,0.183
5,0.28
15,0.611
19,0.206
5,0.466
